title; text; crap; lines; author
Attica State;  what a waste of human power what a waste of human lives shoot the prisioners in the towers forthythree poor widowed wives media blames it on the prisioners but the prisioners did not kill rockefeller pulled the trigger that's what the people feel attica attica state we're all mates with attica state free the prisioners free the judges free all the prisioners everywhere all they want is truth and justice all they need is love and care they all live in suffocation let's not wathc them die in sorrow now's the time for revolution give them all chance to grow attica state come together join the movement take a stand for human rights fear and hatred clouds our judgement free us all from endless night attica state we are all mattes we all live in attica attica attica state ;0;35;1
'Baby's Request;  when the moon lays his head on a pillow and the stars settle down for a rest just do me one small favour i beg you please play me my baby's request it's the song that we heard when we started now the birds have all flown from our nest but you could bring back mem'ries departed by playing my baby's request my baby said that she knows how it goes but you're the one who really knows so go ahead just one more time and then we'll go to bed but you could bring back mem'ries departed by playing my baby's request my baby says she knows how it goes but you're the one that really knows so go ahead just one more time and then we'll go to bed when the moon lays his head on a pillow and the star settles down for a rest just do me one small favour i beg you please play me baby's request mhhm play me baby's request please play me my baby's request  one more time ;0;21;0
Backwards Traveller;  hey did you know that i'm always going back in time rhyming slang auld lang syne my dears through the years i am the backwards traveller ancient wool unraveller sailng songs wailing on the moon and we were sailing songs wailing on the moon wailing on the moon ;0;8;0
Band On The Run;  stuck inside these four walls sent inside forever never seeing no one nice again like you mama you mama you if i ever get out of here thought of giving it all away to a registered charity all i need is a pint a day if i ever get out of here well the rain exploded with a mighty crash as we fell into the sun and the first one said to the second one there i hope you're having fun band on the run band on the run and the jailer man and sailor sam were searching every one for the band on the run band on the run band on the run band on the run well the undertaker drew a heavy sigh seeing no one else had come and a bell was ringing in the village square for the rabbits on the run band on the run band on the run and the jailer man and sailor sam were searching every one for the band on the run band on the run band on the run band on the run well the night was falling as the desert world began to settle down in the town they're searching for us every where but we never w ill be found band on the run band on the run and the county judge who held a grudge will search for evermore for the band on the run band on the run band on the run band on the run ;0;23;0
Be-Bop-A-Lula;  (1) well bebopalula she's my baby bebopalula don't mean maybe bebopalula she's my baby bebopalula don't mean maybe bebopalula she's my baby doll my baby doll my baby doll well she's the one in the red blue jeans she's the queen of all the team she's the woman walkin' that i know she's the woman that loves me so repeat (1) well she's the woman who's got that beat she's the woman with the flying feet she's the woman walk around the store she's the oman gives me more more more repeat (1) (come on riggs clamp 'em) repeat (1) ;0;31;1
Beautiful Boy (Darling Boy);  close your eyes have no fear the monsters gone he's on the run and your daddy's here beautiful beautiful beautiful beautiful boy before you go to sleep say a little prayer every day in every way it's getting better and better beautiful beautiful beautiful beautiful boy out on the ocean sailing away i can hardly wait to see you to come of age but i guess we'll both just have to be patient yes it's a long way to go but in the meantime before you cross the street take my hand life is just what happens to you while your busy making other plans beautiful beautiful beautiful beautiful boy darling darling darling sean ;0;30;1
Beautiful Boys;  you're a beautiful boy with all your little toys your eyes have seen the world though your only four years old and your tears are streaming even when your smiling please never be afraid to cry you're a beautiful boy with all your little ploys your mind has changed the world and your now forty years old you got all you can carry and still somehow empty don't ever be afraid to fly all you beautiful boys creating multiple plays you like to fence in your world and settle down when you're old you can run from pole to pole and never scratch your soul don't be afraid to go to hell and back don't be afraid to go to hell and back don't be afraid to be afraid ;0;22;1
Beef Jerky;  beef jerky beef jerky beef jerky ;0;0;1
Beware My Love;  can't say (i've) found out (i) can't tell you what's all about don't know who does (i) tell you to beware my love beware my love beware my love beware my love beware my love beware my love oh oh oh no no no i must be wrong baby yeah but i don't believe that he's the one but if you insist i must be wrong i must be wrong i have to leave and when i'm gone i'll leave my message in my song that's right beware my love he'll bowl you over beware my love before you're much older he'll sweep you up under his carpet you'd be in luck if you could stop it come on now well he'll wear you out and in a miniute you'll hear a shout and then you'll be in it so so beware my love 'cause he'll take you under beware my love the sound of his thunder can't say (i've) found out i tell you to beware my love beware my love beware my love beware my love ;2;41;0
Bip Bop;  bip bop bip bip bop bip bop bip bip band dig your bottom dollar put it in your hand try to hang out underneath the stand put your hands together gonna see a band treat me like a good boy treat me like a man take me hair and curlers but treat me like a man ;0;11;0
Blackbird;  blackbird singing in the dead of night take these broken wings and learn to fly all your life you were only waiting for this moment to arise blackbird singing in the dead of night take these sunken eyes and learn to see all your life you were only waiting for this moment to be free blackbird fly blackbird fly into the light of the dark black night blackbird fly blackbird fly into the light of the dark black night blackbird singing in the dead of night take these broken wings and learn to fly all your life you were only waiting for this moment to arise you were only waiting for this moment to arise you were only waiting for this moment to arise ;0;17;0
Bless You;  bless you wherever you are windswept child on a shooting star restless spirits depart still we're deep in each other's hearts some people say it's over now that we spread our wings but we know better darling the hollow ring is only last year's echo bless you whoever you are holding her now be warm and kind hearted and remember though love is strange now and forever our love will remain ;0;12;1
Bluebird;  late at night when the wind is still i'll come flying through your door and you'll know what love is for l'm a bluebird i'm a bluebird i'm a bluebird l'm a bluebird yeah yeah yeah i'm a bluebird i'm a bluebird i'm a bluebird yeah yeah yeah touch your lips with a magic kiss and you'll be a bluebird too and you'll know what love can do l'm a bluebird i'm a bluebird l'm a bluebird l'm a bluebird yeah yeah yeah l'm a bluebird i'm a bluebird l'm a bluebird yeah yeah yeah bluebird ah ha bluebird ah ha bluebird fly away through the midnight air as we head across the sea and at last we will be free you're a bluebird you're a bluebird you're a bluebird you're a bluebird yeah yeah yeah you're a bluebird you're a bluebird you're a bluebird yeah yeah yeah bluebird ah ha bluebird ah ha bluebird all alone on a desert island we're living in the trees and we're flying in the breeze we're the bluebirds we're the bluebirds we're the bluebirds we're the bluebirds yeah yeah yeah we're the bluebirds we're the bluebirds we're the bluebirds yeah yeah yeah bluebird ah ha bluebird ah ha bluebird ;2;50;0
Born In A Prison;  we are born in a prision raised in a prision send to a prision called school we cry in a prision we love in a prision we live in a prision like fools wood becomes a flut when it's loved reach for your self and your battered mates mirror becomes a razor when it's broken look in a mirror and see your shattered fate we live with no reason kicked around for no reason thrown out without reason like tools work in a prision and hate in aprision and die in a prision as a rule we live in a prision among judges and wardnes and wait for no reason or use we laugh in a prision go through all four seasons and die with no vision or truth ;0;29;1
Borrowed Time;  when i was younger living confusion and deep dispair when i was younger ah hah living illusion of freedom and power when i was younger full of ideas and broken dreams (my friend) when i was younger ah hah everything simple but not so clear living on borrowed time without a thought for tomorrow living on borrowed time without a thought for tomorrow now i am older the more that i see the less that i know for sure now i am older ah hah the future is brighter and now is the hour living on borrowed time without a thought for tomorrow living on borrowed time without a thought for tomorrow good to be older would not exchange a single day or a year good to be older ah hah less complications everything clear living on borrowed time without a thought for tomorrow living on borrowed time without a thought for tomorrow ;1;27;1
Bring On The Lucie (Freda Peeple);  we don't care what flag you're waving we don't even want to know your name we don't care where you're from or where you're going all we know is that you came you're making all our desicions we have just one request of you that while you're thinking things over here's something you just better do free the people now do it do it do it now well we were caught with our hands in the air don't desapir paranoia is everywhere we can shake it with love when we're scared so let's shout it aloud like a prayer we understand your paranoia but we don't want to play your game you think you're cool and know what you are doing 666 is your name so while you're jerking off each other you better bear this thought in mind your time is up you better know it but maybe you don't read the signs well you were caught with your hands in the kill and you still got to swallow your pill as you slip and you slide down the hill on the blood of the people you killed stop the killing now do it do it do it now bring on the lucie ;0;28;1
C Moon;  c moon c moon c moon is she c moon c moon c moon to me how come no one older than me ever seems to understand the things i wanna to do it will be l7 and i'd never get to heaven if i filled my head with glue what's it all to you c moon c moon c moon is she c moon c moon c moon to me bobby lived with patty but they never told her daddy what their love was all about she could tell her lover that he thought but she never was the type to let it out what's it all about c moon c moon oh c moon are we c moon c moon c moon are we how come no one older than me ever seems to understand the things i wanna to do it will be l7 and i'd never get to heaven if i filled my head with glue what's it all to you c moon c moon c moon is she c moon c moon c moon to me bobby lived with patty but they never told her daddy what their love was all about she could tell her lover that he thought but she never wanted to let it out what's it all about c moon c moon c moon are we c moon c moon c moon are we well what's it all about c moon c moon c moon are we c moon are we ;0;34;0
Cafe On The Left Bank;  cafe on the left bank ordinary wine touching all the girls with your eyes tiny crowd of frenchmen round a tv shop watching charles de gaulle make a speech dancing after midnight sprawling to the car continental breakfast in the bar englishspeaking people drinking german beer talking far too loud for their ears cafe on the left bank ordinary wine touching all the girls with your eyes dancing after midnight crawling to the car cocktail waitress waiting in the bar englishspeaking people drinking german beer talking way too loud for their ears ;0;13;0
Call Me Back Again;  well when i when i was just a little baby boy every night i would call your number brought me joy i called your house every night since then but i ain't never no no never heard you calling me come on and call me back again      call me back again i've heard your name every night since then but i ain't never no no never      well when i when i was just a little baby boy every night every night i would call because your number brought me joy oh  i've called your name every night since then but i ain't never no no no no never heard you calling me come on and call me back again call me back again ;0;21;0
Children Children;  i know a tyne waterfall a magic little place where we can play together and watch the fishes race children children where are you hiding in the forest playing in the rain i hope you not too far away for me to see again i know where there's a fairy who will invite us all to tea but she won't let me in alone you'll have to come with me children children where are you hiding in the forest playing in the rain i hope you not too far away for me to see again i know a tyne waterfall a magic little place where we can play together and watch the fishes race children children where are you hiding in the forest playing in the rain i hope you not too far away for me to see again ;0;23;0
Cleanup Time;  moonlight on the water sun light on my face you and me together we are in our place the gods are in the heavens the angels treat us well the oracle has spoken we cast the (perfect) spell now it begins  let it begin cleanup time (show those mothers how to do it) the queen is in the counting home counting out the money the king is in the kitchen making bread and honey no friends and yet no enemies absolutely free no rats aboard the magic ship of (perfect) harmony now it begins cleanup time (show those mothers how to do it) however far we travel wherever we may roam the centre of the circle will always be our home the gods are in the heavens the angels treat us well the oracle has spoken we cast the (perfect) spell ;0;29;1
Cold Turkey;  temperature's rising fever is high can't see no future can't see no sky my feet are so heavy so is my head i wish i was a baby i wish i was dead cold turkey has got me on the run my body is aching goosepimple bone can't see no body leave me alone my eyes are wide open can't get to sleep one thing i'm sure of i'm in at the deep freeze cold turkey has got me on the run cold turkey has got me on the run thirtysix hours rolling in pain praying to someone free me again oh i'll be a good boy please make me well i promise you anything get me out of this hell cold turkey has got me on the run oh oh oh oh ;1;28;1
Come Together;  here come old flattop he come grooving up slowly he got joojoo eyeball he one holy roller he got hair down to his knee got to be a joker he just do what he please he wear no shoeshine he got toejam football he got monkey finger he shoot cocacola he say i know you you know me one thing i can tell you is you got to be free come together right now over me he bag production he got walrus gumboot he got ono sideboard he one spinal cracker he got feet down below his knee hold you in his armchair you can feel his disease come together right now over me he rollercoaster he got early warning he got muddy water he one mojo filter he say one and one and one is three got to be goodlooking 'cause he's so hard to see come together right now over me ;0;18;1
Coming Up;  you want a love to last forever one that will never fade away i want to help you with your problem stick around i say coming up coming up yeah coming up like a flower coming up i say you want a friend you can rely on one who will never fade away and if you're searching for an answer stick around i say it's coming up it's coming up it's coming up like a flower it's coming up yeah you want some peace and understanding so everybody can be free i know that we can get together we can make it stick with me it's coming up it's coming up it's coming up like a flower it's coming up for you and me coming up coming up it's coming up it's coming up i say it's coming up like a flower it's coming up i feel it in my bones you want a better kind of future one that everyone can share you're not alone we all could use it stick around we're nearly there it's coming up it's coming up everywhere it's coming up like a flower it's coming up for all to share it's coming up yeah it's coming up anyway it's coming up like a flower coming up ;0;36;0
Cook Of The House;  ground rice sugar vinegar seco salt macaroni too cook of the house i'm the cook of the house no matter where i serve my guests they seem to like the kitchen best 'cause i'm the cook of the house cook of the house the salad's in the bowl the rice is on the stove green beans in the colander and where the res is heaven only knows cinnamon garlic salt pepper cornbread curry powder coffee too cook of the house i'm the cook of the house no matter where i serve my guests they seem to like the kitchen best 'cause i'm the cook of the house cook of the house where the rest is heaven only knows matter where i serve my guests they seem to like the kitchen best 'cause i'm the cook of the house cook of the house cook of the house i'm the cook of the house ;0;21;0
Country Dreamer;  i'd like to walk in a field with you take my hat and my boots off too i'd like to lie in a field with you would you like to do it too may would you like to do it too i'd like to stand in a stream with you roll my trousers up and not feel blue i'd like to wash in a stream with you would you like to do it too you and i country dreamer when there's nothing else to do me oh my country dreamer make a country dream come true i'd like to climb up a hill with you stand on top and admire the view i'd like to roll down a hill with you would you like to do it too may would you like to do it too i'd like to climb up a hill with you take my hat and my boots off too i'd like to lie in a field with you would you like to do it too may would you like to do it too ;0;22;0
Crippled Inside;  you can shine you're shoes and wear a suit you can comb your hair and look quite cute you can hide your face behind a smile one thing you can't hide is when you're crippled inside you wear a mask and paint your face you can call yourself the human race you can wear a collar and a tie but the one thing you can't hide is when you're crippled inside well now you know that your cat has nine lives babe nine loves to itself but you only got one and a dog life ain't no fun mamma take a look outside you can go to church and sing a hymn judge me by the color of my skin you can live a lie until you die one thing you can't hide is when you're crippled inside ;0;29;1
Daytime Nightime Suffering;  what does she get for all the love she gave you there on the ladder of regrets mighty river give her all she gets what does she get for all the love she gave you there on the ladder of regrets daytime nightime suffering is all she gets where all the prizes for the games she entered with little chance of much success daytime nightime suffering is all she gets come on river all the flow let your love of you people show come on river flow through me let your love of you people be you are the river i am the stream flow mighty river through me what does it pay to play the leading lady when the like the damsel in distress daytime nightime suffering is all she gets no less (no less) no more (no more) no sea (no sea) no shore (no shore) no sand (no sand) no pail (no pail) no fairy tale anymore come on river flow through me don't be stopped by insanity come on river overflow let your love for your neighbours show you are the river i am the stream flget it but if we forget it every now and then but if you don't feel it later on you'll regret it and if we let it we could set it free you and me ;0;30;0
Dear Friend;  dear friend what's the time is this really the borderline does it really mean so much to you are you afraid or is it true dear friend throw the wine i'm in love with a friend of mine really truly young and newly wed are you a fool or is it true are you afraid or is it true ;0;8;0
Dear Yoko;  even after all these years i miss you when your not here i wish you were here my dear yoko even if it's just a day i miss you when your away i wish you were here today dear yoko even if it's just one night i miss you and it don't feel right i wish you were here tonight dear yoko even if it's just an hour i wilt just like a fading flower ain't nothing in the world like our love dear yoko oh yoko i'll never ever ever ever gonna let you go oh yoko i'll never ever ever ever gonna let you go even when i'm miles at sea and nowhere is the place to be your spirit's watching over me dear yoko even when i watch tv there's hole where your supposed to be there's nobody lying next to me oh yoko i'll never ever ever ever gonna let you go oh yoko i'll never ever ever ever gonna let you go even after all this time i miss you like the sun don't shine without you i'm a one track mind dear yoko after all is really said and done the two of us are really one the goddess really smiled upon our love dear yoko ;0;31;1
Deliver Your Children;  well the rain was afailin' and the ground turned to mud i was watching all the people running from the flood so i started to pray though i ain't no prayin' man for the lord to come a helpin' knowing he'd understand deliver your children to the good good life give'em peace and shelter and a fork and knife shine a light in the morning and a light at night and if a thing goes wrong you'd better make it right well i had me a woman she was good and clean she spent all day with the washing machine but when it come to lovin' she was never around she was out getting dirty all over town chorus well i was low on money and my truck broke down i was on my way to the lost and found so i took it to a dealer i said make it run well i ain't got no money but i got me a gun i said you robbed me before so i'm robbing you back and if it don't put you straight it'll put you on the right track well i ain't no devil and i ain't no saint but i can tell a dealer by the colour of his paint chorus if you want good eggs you gotta feed that hen and if you wanna hear some more well i'll sing it again ;0;37;0
'Don't Be Scared;  don't be scared don't be scared don't be scared to love better to love than never love at all don't be scared don't be shy don't be shy don't be shy to tell you may lose the chance to tell don't be shy when your hearts are lit drop your survival kit then you never have to run or split sun in the east moon in the west this boat's moving slow there's no land in sight at all away we go don't be scared don't be scared don't be scared to love it's better to love than never love at all don't be scared ;0;23;1
'Don't Let It Bring You Down;  though some things in life are hard to bear don't let it bring you down should the sand of time run out on you don't let it bring you down don't go down  don't go underground things seem strange but they change how they change up and down your carousel will go don't let it bring you down don't go down  don't get out of town get to know how it goes how it goes when the price you have to pay is high don't let it bring you down ;0;12;0
'Don't Let Me Down;  don't let me down don't let me down don't let me down don't let me down nobody ever loved me like she does oo she does yeh she does and if somebody loved me like she do me oo she do me yes she does don't let me down don't let me down don't let me down don't let me down i'm in love for the first time don't you know it's gonna last it's a love that lasts forever it's a love that had no past don't let me down don't let me down don't let me down don't let me down and from the first time that she really done me oo she done me she done me good i guess nobody ever really done me oo she done me she done me good don't let me down don't let me down don't let me down don't let me down ;0;19;1
Every Man Has A Woman Who Loves Him;  every man has a woman who loves him in rain or shine or life and death if he finds her in this lifetime he will know when he presses his ear to her breast why do i roam when i know you're the one why do i laugh when i feel like crying every woman has a man who loves her rise or fall of her life and death if she finds him in this life time she will know when she looks into his eyes why do i roam when i know you're the one why do i run when i feel like holding you every man has a woman who loves him if he finds her in this lifetime he will know ;0;14;1
Every Night;  ev'ry night i just wanna go out get out of my head ev'ry day i don't wanna get up get out of my bed ev'ry night i want to play out and ev'ry day i wanna dooohoohoohooh but tonight i just wanna stay in and be with youoo and be with you oohoohoohoohoohoohoohoohooh oohoohoohooh oohoohoohoohoohoohoohoohooh oohoohoohooh ev'ry day i lean on a lamp post i'm wasting my time ev'ry night i lay on a pillow i'm resting my mind ev'ry morning brings a new day and ev'ry night that day is throuough but tonight i just wanna stay in and be with you and be with you oohoohoohoohoohoohoohoohooh oohoohoohooh believe me momma oohoohoohoohoohoohoohoohooh momma oohoohoohooh oohoohoohooh ;1;26;0
Famous Groupies;  all stand back let the people see take a snap of the famous groupies for me behold the famous groupies they are alike as two peas and where the other goes the other goes but though the famous groupies are only paid in rupies nobody knows what the famous groupies know and nobody goes where the famous groupies go there was a bango player who kept an extra layer of dunlopillo mattress in his van but when the famous groupies arived with their twin snoopies nobody saw which way the poor boy ran nobody does it like a famous groupie can all stand back let the people see take a snap of the famous groupies for me there was a lead guitarist who lived in epping forest and all he ever wanted was to blow when the girls were with him he never lost his rhythm and nobody knows what the famous groupies know nobody goes where the famous groupies go there was a classic story of a roadic nicknamed rory who used to practice voodoo on the side when the famous twosome suggested something gruesome all that they found was a crater two miles wide which left the music business absolutely horrified ladies and gentlemen those magnificent examples of female pulchritude and luminosity direct from their global perambulations to the very boards of this supremely magnificent proscenium arch  ladies and gentlemen i give you famous groupies ;0;36;0
Getting Closer;  say you don't love him my salamander why do you need him oh no don't answer oh no i'm getting closer i'm getting closer to your heart keeping ahead of the rain on the road watching my windscreen wipers radio play me a danceable ode cattle beware of snipers when will you see me my salamander now don't try to tell me oh no don't answer oh no l'm getting closer i'm getting closer to your heart hitting the chisel and making a joint glueing my fingers together radio play me a song with a point sailor beware of weather l'm getting closer my salamander well when will we be there ah no don't answer oh no l'm getting closer i'm getting closer to your heart i'm getting closer to your heart i'm getting closer to your heart ;0;24;0
Girlfriend;  girlfriend i'm gonna tell your boyfriend tell him exactly what you're going tell him what you do to me late at night when the wind is free girlfriend girlfriend i'm show your boyfriend show him the letters i've been saving show him how you feel inside then our love couldn't be denied and we're gonna have to tell him you'll only be a girlfriend of mine till the river stop aflowin' till the wind doesn't wanna blow till the flowers stop agrowin' till my love doesn't want to know girlfriend we'd better tell your boyfriend tell him exactly what we're doing tell him what he needs to know or he may never let you go yes we're gonna have to tell him you'll only be a girlfriend of mine till the river stop aflowin' till the wind doesn't wanna blow till the flowers stop agrowin' till the ocean's a sea of snow ;0;24;0
'Girls' School;  sleepy head kid sister lying on the floor 18 years and younger boy well she knows what she's waiting for yuki's a cool school mistress she's an oriental princess she shows films in the classroom boy the put the paper on the windows ahwhat can the sisters do ahgirls' school head nurse is sister scala now she's a spanish doll she runs a full body out call massage parlour from the teacher's hail ahwhat can the sisters do ahgirls' school well now roxanne's he woman trainer she puts the kids to bed she gives them pills in a paper cup and she knocks them on the head ahwhat can the sisters do ahgirls' school ahwhat can the sisters do ahgirls' school she shows films in the classroom boy the put the paper on the windows ahwhat can the sisters do ahgirls' school ;0;27;0
Give Ireland Back To The Irish;  give ireland back to the irish don't make them have to take it away give ireland back to the irish make ireland irish today great britian you are tremendous and nobody knows like me but really what are you doin' in the land across the sea tell me how would you like it if on your way to work you were stopped by irish soliders would you lie down do nothing would you give in or go berserk give ireland back to the irish don't make them have to take it away give ireland back to the irish make ireland irish today great britian and all the people say that all people must be free meanwhile back in ireland there's a man who looks like me and he dreams of god and country and he's feeling really bad and he's sitting in a prison should he lie down do nothing should give in or go mad give ireland back to the irish don't make them have to take it away give ireland back to the irish make ireland irish today give ireland back to the irish don't make them have to take it away give ireland back to the irish make ireland irish today ;0;33;0
Give Me Some Truth;  i'm sick and tired of hearing things from uptightshort sighted narrow minded hypocritics all i want is the truth just give me some truth i've had enough of reading things by nueroticpyschotic pig headed politicians all i want is the truth just give me some truth no short hairedyellow bellied son of tricky dicky is gonna mother hubbard soft soap me with just a pocketful of hope money for dope money for rope i'm sick to death of seeing things from tight lipped condescending mommies little chauvinists all i want is the truth just give me some truth i've had enough of watching scenes of schizophrenic  ego  centric  paranoic  prima  donnas all i want is the truth just give me some truth ;0;31;1
Give Me Something;  the food is cold your eyes are cold the window's cold the bed is cold give me something that's not cold come on come on give me something that's not cold come on come on give me something that's not cold come on come on the chair is hard your voice is hard the money's hard the living's hard give me something that's not hard come on come on give me something that's not hard come on come on give me something that's not hard come on come on give me give me and i'll give you a heartbeat and a bit of tear and flesh it's not very much but while it's there you can have it you can have it ;0;24;1
Give Peace A Chance;  ev'rybody's talking about bagism shagism dragism madism ragism tagism thisism thatism ism ism ism all we are saying is give peace a chance all we are saying is give peace a chance c'mon ev'rybody's talking about ministers sinisters banisters and canisters bishops and fishops and rabbis and pop eyes and bye bye bye byes all we are saying is give peace a chance ;0;10;1
Go Now;  we've already said goodbye since you gotta go oh you'd better go now go now go now (go now) before you see me cry i don't want you to tell me just what you intend to do now 'cause how many times do i have to tell you darlin' darlin' i'm still in love with you now whoa oh oh oh we've already said so long i don't want to see you go oh you'd better go now go now go now (go now) don't you even try tellin' me that you really don't want it to end this way 'cause darlin' darlin' can't you see i want you to stay whoa oh oh oh since you gotta go oh you'd better go now go now go now (go now) before you see me cry i don't want you to tell me just what you intend to do now 'cause how many times do i have to tell you darlin' darlin' i'm still in love still in love with you now whoa oh oh oh i don't want to see you go but darlin' you better go now ;1;22;0
